FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
Marshalltown Wind Farm,Marshalltown Wind Farm,Marshalltown,Community Wind,,Consumers Energy,Consumers Energy,Marshalltown IA,0.11 MW,1,2004,Micon,In Service,"42.0518°, -92.9079°",0.11,42.0518,-92.9079
Martinsdale Colony North,Martinsdale Colony North,Martinsdale Colony North,Commercial Scale Wind,,Two Dot Wind LLC,,Wheatland MT,0.8 MW,11,2005,Windmatic,In Service,"46.52°, -110.28°",0.8,46.52,-110.28
Martinsdale Colony South,Martinsdale Colony South,Martinsdale Colony South,Community Wind,,Two Dot Wind LLC,,Wheatland MT,2 MW,8,2007,Mitsubishi,In Service,"46.49°, -110.28°",2,46.49,-110.28
Massachusetts Maritime Academy Wind Farm,Massachusetts Maritime Academy Wind Farm,Massachusetts Maritime Academy,Community Wind,Massachusetts Maritime Academy,Massachusetts Maritime Academy,Massachusetts Maritime Academy,Buzzards Bay - Cape Cod MA,0.66 MW,1,2006,Vestas,In Service,"41.741349°, -70.62382°",0.66,41.741349,-70.62382
Massachusetts Military Reservation,Massachusetts Military Reservation,Massachusetts Military Reservation,Community Wind,Air Force Center for Engineering & the Environment,,Air Force Center for Engineering & the Environment,Massachusetts Military Reservation MA,1.5 MW,1,2009,Fuhrlander,In Service,"41.690386°, -70.550108°",1.5,41.690386,-70.550108
McAdoo Wind Farm,McAdoo Wind Farm,McAdoo Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,McAdoo TX,150 MW,100,2008,GE Energy,In Service,"33.747757°, -100.996846°",150,33.747757,-100.996846
McFadden Ridge Wind Farm,McFadden Ridge Wind Farm,McFadden Ridge,Commercial Scale Wind,PacifiCorp,PacifiCorp,PacifiCorp,Southwest of Rock River WY,28.5 MW,19,2009,GE Energy,In Service,"41.718626°, -106.107001°",28.5,41.718626,-106.107001
McKenna Charter School Wind Project,McKenna Charter School Wind Project,McKenna Charter School,Community Wind,,,,ID,,1,,SkyStream,,"43.125595°, -115.703819°",0,43.125595,-115.703819
McKinley Wind Park,McKinley Wind Park,McKinley Wind Park,Commercial Scale Wind,Detroit Edison,Detroit Edison,Detroit Edison,Pigeon MI,14 MW,9,2012,GE Energy,In Service,"43.87277698°, -83.26126099°",14,43.87277698,-83.26126099
McKinney Wal-Mart Wind Farm,McKinney Wal-Mart Wind Farm,McKinney Wal-Mart,Definition:Small Scale Wind,Wal-Mart,Bergey Windpower,Wal-Mart,McKinney TX,0.05 MW,1,2005,Bergey Windpower,In Service,"33.220625°, -96.630571°",0.05,33.220625,-96.630571
McNeilus Wind Farm I,McNeilus Wind Farm I,McNeilus,Commercial Scale Wind,McNeilus,McNeilus,Xcel Energy,Mower County MN,9 MW,10,2002,NEG Micon,In Service,"43.673251°, -92.665436°",9,43.673251,-92.665436
McNeilus Wind Farm II,McNeilus Wind Farm II,McNeilus,Commercial Scale Wind,G. McNeilus,G. McNeilus,Xcel Energy,Mower County MN,1.65 MW,1,2003,NEG Micon,In Service,"43.673251°, -92.665436°",1.65,43.673251,-92.665436
McNeilus Wind Farm III,McNeilus Wind Farm III,McNeilus,Commercial Scale Wind,G. McNeilus,G. McNeilus,Dairyland Power /Alliant,Mower County MN,9 MW,6,2003,NEG Micon,In Service,"43.673251°, -92.665436°",9,43.673251,-92.665436
McNeilus Wind Farm IV,McNeilus Wind Farm IV,McNeilus,Commercial Scale Wind,G. McNeilus,G. McNeilus,Xcel Energy,Mower County MN,9.9 MW,6,2004,NEG Micon,In Service,"43.673251°, -92.665436°",9.9,43.673251,-92.665436
Meadow Creek,Meadow Creek,Meadow Creek,Commercial Scale Wind,Ridgeline Energy,Ridgeline Energy,PacifiCorp (Rocky Mountain Power),Idaho Falls ID,119.7 MW,57,2012,Suzlon Energy Company,In Service,"43.50492362°, -111.8366146°",119.7,43.50492362,-111.8366146
Meadow Lake II,Meadow Lake II,Meadow Lake II,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,91.5 MW,61,2010,Acciona,In Service,"40.601111°, -86.864167°",91.5,40.601111,-86.864167
Meadow Lake II (3Q10),Meadow Lake II (3Q10),Meadow Lake II (3Q10),Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,7.5 MW,5,2010,Acciona,In Service,"40.601111°, -86.864167°",7.5,40.601111,-86.864167
Meadow Lake III,Meadow Lake III,Meadow Lake III,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,103.5 MW,69,2010,GE Energy,In Service,"40.601111°, -86.864167°",103.5,40.601111,-86.864167
Meadow Lake IV,Meadow Lake IV,Meadow Lake IV,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,98.7 MW,47,2010,Suzlon Energy Company,In Service,"40.601111°, -86.864167°",98.7,40.601111,-86.864167
Meadow Lake Wind Farm,Meadow Lake Wind Farm,Meadow Lake Wind Farm,Commercial Scale Wind,Horizon Wind Energy,EDP Renewables,,Brookston IN,200 MW,121,2009,Vestas,In Service,"40.601111°, -86.864167°",200,40.601111,-86.864167
Meadow Ridge,Meadow Ridge,Meadow Ridge,Community Wind,Meadow Ridge Wind Energy LLC (community owned),,Central Iowa Power Cooperative,Greenfield IA,1.6 MW,1,2012,GE Energy,In Service,"41.39004255°, -94.44637299°",1.6,41.39004255,-94.44637299
Medicine Bow Wind Farm I,Medicine Bow Wind Farm I,Medicine Bow,Commercial Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,3.3 MW,5,1999,Vestas,In Service,"41.927554°, -106.371968°",3.3,41.927554,-106.371968
Medicine Bow Wind Farm II,Medicine Bow Wind Farm II,Medicine Bow,Commercial Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,1.32 MW,2,2000,Vestas,In Service,"41.927554°, -106.371968°",1.32,41.927554,-106.371968
Medicine Bow Wind Farm III,Medicine Bow Wind Farm III,Medicine Bow,Definition:Small Scale Wind,Platte River Power Authority,Platte River Power Authority,Platte River Power Authority,Medicine Bow WY,0.07 MW,1,1996,Nordtank,In Service,"41.927554°, -106.371968°",0.07,41.927554,-106.371968
Medicine Bow Wind Farm IV,Medicine Bow Wind Farm IV,Medicine Bow,Commercial Scale Wind,Platte River Power Authority,Northern Alternative Energy,Platte River Power Authority,Medicine Bow WY,1.2 MW,2,1998,Vestas,In Service,"41.927554°, -106.371968°",1.2,41.927554,-106.371968
Mehoopany,Mehoopany,Mehoopany,Commercial Scale Wind,BP Wind Energy / Sempra Energy,BP Wind Energy,ODEC / SMECO,WY County PA,140.8 MW,88,2012,GE Energy,In Service,"41.43616334°, -76.09405518°",140.8,41.43616334,-76.09405518
Memorial Middle School Wind Project,Memorial Middle School Wind Project,Memorial Middle School,Community Wind,,,,SD,,1,,SkyStream,,"43.532688°, -96.818901°",0,43.532688,-96.818901
Mendota Hills Wind Farm,Mendota Hills Wind Farm,Mendota Hills,Commercial Scale Wind,GE Energy,Navitas Energy,Exelon,Near Paw Paw IL,50.4 MW,63,2003,Gamesa,In Service,"41.738291°, -89.044032°",50.4,41.738291,-89.044032
Meridian Public Schools Wind Project,Meridian Public Schools Wind Project,Meridian Public Schools,Community Wind,,,,NE,,1,,SkyStream,,"40.317871°, -97.329475°",0,40.317871,-97.329475
Meridian Trust Wind Farm I,Meridian Trust Wind Farm I,Meridian Trust,Commercial Scale Wind,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,San Gorgonio CA,0.15 MW,1,,Bonus,In Service,"33.9095°, -116.734°",0.15,33.9095,-116.734
Meridian Trust Wind Farm II,Meridian Trust Wind Farm II,Meridian Trust,Commercial Scale Wind,NextEra Energy Resources,Kenetech Windpower,Southern California Edison Co,San Gorgonio CA,7.4 MW,74,,Kenetech,In Service,"33.9095°, -116.734°",7.4,33.9095,-116.734
Meridian Way II Wind Farm,Meridian Way II Wind Farm,Meridian Way II,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Cloud County KS,96 MW,32,2008,Vestas,In Service,"39.43274°, -97.545217°",96,39.43274,-97.545217
Meridian Way Wind Farm,Meridian Way Wind Farm,Meridian Way,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Westar Energy/Empire District Electric,Cloud County KS,105 MW,35,2008,Vestas,In Service,"39.43274°, -97.545217°",105,39.43274,-97.545217
Mesa County Valley Wind Project,Mesa County Valley Wind Project,Mesa County Valley Career Center,Community Wind,,,,CO,,1,2012,SkyStream,In Service,"39.0769°, -108.50873°",0,39.0769,-108.50873
Mesalands Community College Wind Farm,Mesalands Community College Wind Farm,Mesalands Community College,Community Wind,Mesalands Community College,Mesalands Community College,Mesalands Community College,Tucumcari NM,1.5 MW,1,2008,GE Energy,In Service,"35.170978°, -103.736088°",1.5,35.170978,-103.736088
Metro Wind LLC Wind Farm,Metro Wind LLC Wind Farm,Metro Wind LLC,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Elk River - Sherbourne County MN,0.66 MW,1,2001,Vestas,In Service,"45.379527°, -93.634011°",0.66,45.379527,-93.634011
Meyersdale Wind Farm,Meyersdale Wind Farm,Meyersdale,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,FirstEnergy,Somerset County PA,30 MW,20,2003,NEG Micon,In Service,"39.786246°, -79.004659°",30,39.786246,-79.004659
Michigan Offshore Wind Pilot Project,Michigan Offshore Wind Pilot Project,Michigan Offshore Wind Pilot Project,Offshore Wind,Mighigan Alternative and Renewable Energy Center,Mighigan Alternative and Renewable Energy Center,,Muskegon Lake MI,0.6 MW,1,,,Proposed,"43.231°, -86.307°",0.6,43.231,-86.307
Michigan Wind I Wind Farm,Michigan Wind I Wind Farm,Michigan Wind I,Commercial Scale Wind,John Deere Wind,Noble Environmental Power,Consumers Energy,Huron County MI,69 MW,46,2008,GE Energy,In Service,"43.7099°, -82.9388°",69,43.7099,-82.9388
Michigan Wind II Wind Farm,Michigan Wind II Wind Farm,Michigan Wind II Wind Farm,Commercial Scale Wind,Exelon Wind,Exelon Wind,Consumers Energy,Minden City MI,90 MW,50,2011,Vestas,In Service,"43.6572421°, -82.7681278°",90,43.6572421,-82.7681278
Mid-Atlantic Wind Park,Mid-Atlantic Wind Park,Mid-Atlantic Wind Park,Offshore Wind,,NRG Bluewater Wind,,Offshore from Rehoboth Beach DE,450 MW,150,,Vestas (Anticipated),Proposed,"38.633333°, -74.775°",450,38.633333,-74.775
Midwest Underground Technology,Midwest Underground Technology,Midwest Underground Technology,Definition:Small Scale Wind,Midwest Underground Technology,,Midwest Underground Technology,Champaign IL,0.1 MW,1,2010,Northern Power Systems,In Service,"40.15020987°, -88.29149723°",0.1,40.15020987,-88.29149723
Milford Wind Corridor Phase I (Clipper) Wind Farm,Milford Wind Corridor Phase I (Clipper) Wind Farm,Milford Wind Corridor Phase I (Clipper),Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Milford UT,145 MW,58,2009,Clipper,In Service,"38.52227°, -112.935262°",145,38.52227,-112.935262
Milford Wind Corridor Phase I (GE Energy),Milford Wind Corridor Phase I (GE Energy),Milford Wind Corridor Phase I (GE Energy),Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Milford UT,58.5 MW,39,2009,GE Energy,In Service,"38.52227°, -112.935262°",58.5,38.52227,-112.935262
Milford Wind Corridor Phase II,Milford Wind Corridor Phase II,Milford Wind Corridor Phase II,Commercial Scale Wind,First Wind,First Wind,Southern California Public Power Authority,Millard and Beaver County UT,102 MW,68,2011,GE Energy,In Service,"38.645608°, -112.878027°",102,38.645608,-112.878027
Mill Run Wind Power Project,Mill Run Wind Power Project,Mill Run Wind Power Project,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,Mill Run PA,15 MW,10,2001,GE Energy,In Service,"39.921026°, -79.388666°",15,39.921026,-79.388666
Miller Schools Wind Project,Miller Schools Wind Project,Miller Schools,Community Wind,,,,SD,,1,,SkyStream,,"44.521069°, -98.979942°",0,44.521069,-98.979942
Milner Dam Wind Park,Milner Dam Wind Park,Milner Dam Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Cassia County ID,19.5 MW,13,2010,GE Energy,In Service,"42.495962°, -114.021106°",19.5,42.495962,-114.021106
MinWind I & II Wind Farm,MinWind I & II Wind Farm,MinWind I & II,Commercial Scale Wind,'Farmer's Cooperative,Farmer's Cooperative with Dan Juhl,Alliant Energy,Rock County MN,3.8 MW,4,2002,NEG Micon,In Service,"43.6748°, -96.2622°",3.8,43.6748,-96.2622
MinWind III-IX Wind Farm,MinWind III-IX Wind Farm,MinWind III-IX,Commercial Scale Wind,,,Xcel Energy,Near Luverne MN,11.55 MW,7,2004,NEG Micon,In Service,"43.6505°, -96.3892°",11.55,43.6505,-96.3892
Minco II Wind Energy Center,Minco II Wind Energy Center,Minco II Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Google Energy,South of Minco OK,100.8 MW,63,2011,GE Energy,In Service,"35.346236°, -98.00364°",100.8,35.346236,-98.00364
Minco III,Minco III,Minco III,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Golden Spread Electric Cooperative,Minco OK,100.8 MW,63,2012,GE Energy,In Service,"35.35444115°, -98.13928127°",100.8,35.35444115,-98.13928127
Minco Wind Energy Center,Minco Wind Energy Center,Minco Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,South of Minco OK,99.2 MW,62,2010,,In Service,"35.294204°, -97.926081°",99.2,35.294204,-97.926081
Minden Wind Park,Minden Wind Park,Minden Wind Park,Commercial Scale Wind,Detroit Edison,Detroit Edison,Detroit Edison,Minden City MI,25 MW,16,2012,GE Energy,In Service,"43.637272°, -82.78022°",25,43.637272,-82.78022
Minn-Dakota Wind Farm I,Minn-Dakota Wind Farm I,Minn-Dakota Wind Farm,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Xcel Energy,Lincoln County SD,54 MW,36,2007,GE Energy,In Service,"44.385567°, -96.436572°",54,44.385567,-96.436572
Minn-Dakota Wind Farm II,Minn-Dakota Wind Farm II,Minn-Dakota Wind Farm,Commercial Scale Wind,Iberdrola Renewables,PPM Energy Inc,Xcel Energy,Lincoln County MN,96 MW,64,2007,GE Energy,In Service,"44.385567°, -96.436572°",96,44.385567,-96.436572
Minnesota Wind Share Wind Farm,Minnesota Wind Share Wind Farm,Minnesota Wind Share,Commercial Scale Wind,Various,Project Resources Corp.,Xcel Energy,Lake Wilson MN,5.4 MW,3,2006,Suzlon Energy Company,In Service,"43.996°, -95.9532°",5.4,43.996,-95.9532
Minnkota Power Cooperative Wind Turbine (Petersburg),Minnkota Power Cooperative Wind Turbine (Petersburg),Minnkota Power Cooperative Wind Turbine (Petersburg),Commercial Scale Wind,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,East of Petersburg ND,0.9 MW,1,2002,NEG Micon,In Service,"48.008793°, -97.930931°",0.9,48.008793,-97.930931
Minnkota Power Cooperative Wind Turbine (Valley City),Minnkota Power Cooperative Wind Turbine (Valley City),Minnkota Power Cooperative Wind Turbine (Valley City),Commercial Scale Wind,Minnkota Power Cooperative,Minnkota Power Cooperative,Minnkota Power Cooperative,East of Valley City - Oriska Hills ND,0.9 MW,1,2001,NEG Micon,In Service,"46.918681°, -97.891581°",0.9,46.918681,-97.891581
Minonk,Minonk,Minonk,Commercial Scale Wind,Algonquin Power,Gamesa,Merchant,Minonk IL,200 MW,100,2012,Gamesa,In Service,"40.8632902°, -88.94342422°",200,40.8632902,-88.94342422
Minot Wind 2,Minot Wind 2,Minot Wind 2,Commercial Scale Wind,Prairie Winds ND 1,Basin Electric,Basin Electric,South of Minot ND,4.5 MW,3,2009,GE Energy,In Service,"48.02516°, -101.290905°",4.5,48.02516,-101.290905
Missouri River Energy Services (MRES) Wind Farm (2002),Missouri River Energy Services (MRES) Wind Farm (2002),Missouri River Energy Services (MRES),Commercial Scale Wind,Missouri River Energy Services (MRES),Missouri River Energy Services (MRES) with Tom Wind,MRES/ Worthington Public Utilities,Worthington - Nobles County MN,3.6 MW,4,2002,NEG Micon,In Service,"43.6659°, -95.7493°",3.6,43.6659,-95.7493
Missouri River Energy Services (MRES) Wind Farm (2003),Missouri River Energy Services (MRES) Wind Farm (2003),Missouri River Energy Services (MRES),Commercial Scale Wind,,Missouri River Energy Services,Missouri River Energy Services,Worthington County MN,1.9 MW,2,2003,NEG Micon,In Service,"43.6659°, -95.7493°",1.9,43.6659,-95.7493
Moe Wind Farm,Moe Wind Farm,Moe Wind Farm,Commercial Scale Wind,,Two Dot Wind LLC,,Wheatland MT,0.5 MW,6,2007,Vestas,In Service,"46.32°, -110.09°",0.5,46.32,-110.09
Mogul Energy Wind Farm,Mogul Energy Wind Farm,Mogul Energy,Commercial Scale Wind,,Mogul Energy,Southern California Edison Co,Tehachapi CA,4 MW,8,,Mitsubishi,In Service,"35.07665°, -118.25529°",4,35.07665,-118.25529
Mojave 16-17-18 Wind Farm I,Mojave 16-17-18 Wind Farm I,Mojave 16/17/18,Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,66.75 MW,267,1989,Mitsubishi,In Service,"35.07665°, -118.25529°",66.75,35.07665,-118.25529
Mojave 16-17-18 Wind Farm II,Mojave 16-17-18 Wind Farm II,Mojave 16/17/18,Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,18 MW,30,1989,Mitsubishi,In Service,"35.07665°, -118.25529°",18,35.07665,-118.25529
Mojave 90 (3 & 5) Wind Farm,Mojave 90 (3 & 5) Wind Farm,Mojave 90 (3 & 5),Commercial Scale Wind,NextEra Energy Resources/Tomen,SeaWest,Southern California Edison Co,Tehachapi CA,46 MW,184,1990,Mitsubishi,In Service,"35.07665°, -118.25529°",46,35.07665,-118.25529
Mojave 90 (4) Wind Farm,Mojave 90 (4) Wind Farm,Mojave 90 (4),Commercial Scale Wind,,SeaWest,Southern California Edison Co,Tehachapi CA,29 MW,116,1990,Mitsubishi,In Service,"35.07665°, -118.25529°",29,35.07665,-118.25529
Mojave/Morowind Wind Farm,Mojave/Morowind Wind Farm,Mojave/Morowind,Commercial Scale Wind,Tomen,Tomen,Southern California Edison Co,Tehachapi CA,35.4 MW,59,2002,Mitsubishi,In Service,"35.07665°, -118.25529°",35.4,35.07665,-118.25529
Monhegan Island,Monhegan Island,Monhegan Island,Offshore Wind,Maine State Dept of Conservation,DeepCWind Consortium,,Atlantic Ocean ME,0.22 MW,1,,,Proposed,"43.713°, -69.317°",0.22,43.713,-69.317
Montana State University Wind Project,Montana State University Wind Project,Montana State University,Community Wind,,,,MT,,1,,SkyStream,,"45.662834°, -111.044098°",0,45.662834,-111.044098
Montezuma Wind Project,Montezuma Wind Project,Montezuma Wind Project,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Solano CA,36.8 MW,16,2011,Siemens,In Service,"38.107973°, -121.853156°",36.8,38.107973,-121.853156
Montezuma Winds II,Montezuma Winds II,Montezuma Winds II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Rio Vista CA,78.2 MW,34,2012,Vestas,In Service,"38.16867552°, -121.8061924°",78.2,38.16867552,-121.8061924
Montfort Wind Farm,Montfort Wind Farm,Montfort Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,We Energies/Alliant Energy,Montfort WI,30 MW,20,2001,GE Energy,In Service,"42.96266°, -90.379987°",30,42.96266,-90.379987
Moorhead Wind (Freedom),Moorhead Wind (Freedom),Moorhead Freedom,Community Wind,"City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)",28th Street and 15th Avenue North,0.75 MW,1,1999,NEG Micon,In Service,"46.895158°, -96.73081°",0.75,46.895158,-96.73081
Moorhead Wind (Zephyr),Moorhead Wind (Zephyr),Moorhead Zephyr,Community Wind,"City of Moorhead, Minnesota (Utility Company)",,"City of Moorhead, Minnesota (Utility Company)",28th Street and 15th Avenue North,0.75 MW,1,1999,NEG Micon,In Service,"46.895158°, -96.73081°",0.75,46.895158,-96.73081
Moraine II Wind Farm,Moraine II Wind Farm,Moraine II,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Xcel Energy,Pipestone & Murray Counties MN,49.5 MW,33,2009,GE Energy,In Service,"44.012466°, -96.114764°",49.5,44.012466,-96.114764
Moraine Wind Power Project,Moraine Wind Power Project,Moraine Wind Power Project,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Xcel Energy,Pipestone and Murray Counties MN,51 MW,34,2003,GE Energy,In Service,"43.993574°, -96.047301°",51,43.993574,-96.047301
Morning Light,Morning Light,Morning Light,Commercial Scale Wind,MidAmerican Energy,Clipper Windpower Development Company,MidAmerican Energy,Casey IA,101.2 MW,44,2012,Siemens,In Service,"41.44819506°, -94.58280087°",101.2,41.44819506,-94.58280087
Moulton Chandler Hills Wind Farm Phase II,Moulton Chandler Hills Wind Farm Phase II,Moulton Chandler Hills Wind Farm Phase II,Commercial Scale Wind,Great River Energy,EnXco,Great River Energy,Near Chandler MN,1.98 MW,3,2001,Vestas,In Service,"43.9189°, -95.9557°",1.98,43.9189,-95.9557
Mount Nittany Elementary School Wind Turbine,Mount Nittany Elementary School Wind Turbine,Mount Nittany Elementary School,Community Wind,State College Area School District,,State College Area School District,PA,,,2013,SkyStream,In Service,"40.785214935489°, -77.805540293439°",0,40.785214935489,-77.805540293439
Mount St. Mary's Abbey,Mount St. Mary's Abbey,Mount St. Mary's Abbey,Definition:Small Scale Wind,Mount St. Mary's Abbey,Sustainable Energy Developments,Mount St. Mary's Abbey,Wrentham MA,0.1 MW,1,2009,,In Service,"42.033096°, -71.393711°",0.1,42.033096,-71.393711
Mount Wachusetts Community College Wind Project,Mount Wachusetts Community College Wind Project,Mount Wachusetts Community College Wind Project,Community Wind,Mount Wachusetts Community College,Mount Wachusetts Community College,Mount Wachusetts Community College,Gardner MA,3.3 MW,2,2011,Vestas,In Service,"42.58855651°, -71.98396683°",3.3,42.58855651,-71.98396683
Mount Wachusetts Wind Farm,Mount Wachusetts Wind Farm,Mount Wachusetts Wind Farm,Commercial Scale Wind,Princeton Municipal Light,CEI - Iberdrola,Princeton Municipal Light,Near Princeton MA,3 MW,2,2009,,In Service,"42.588458°, -71.98387°",3,42.588458,-71.98387
Mountain Air,Mountain Air,Mountain Air,Commercial Scale Wind,Terna Energy,Terna Energy,Idaho Power,Hammett ID,138 MW,60,2012,Vestas,In Service,"42.98719519°, -115.3985024°",138,42.98719519,-115.3985024
Mountain Home Wind Farm,Mountain Home Wind Farm,Mountain Home,Commercial Scale Wind,John Deere Wind,John Deere Wind,Idaho Power,Elmore County ID,42 MW,20,2009,Suzlon Energy Company,In Service,"43.268356°, -116.167939°",42,43.268356,-116.167939
Mountain View Grand,Mountain View Grand,Mountain View Grand,Definition:Small Scale Wind,Mountain View Grand,Sustainable Energy Developments,Mountain View Grand,Mountain View Grand Resort & Spa NH,0.1 MW,1,2009,Northern Power Systems,In Service,"44.397987°, -71.590306°",0.1,44.397987,-71.590306
Mountain View IV,Mountain View IV,Mountain View IV,Commercial Scale Wind,AES Wind Generation,AES Wind Generation,Southern California Edison Co,White Water CA,49 MW,49,2012,Mitsubishi,In Service,"33.95475187°, -116.7015839°",49,33.95475187,-116.7015839
Mountain View Power Partners I Wind Farm,Mountain View Power Partners I Wind Farm,Mountain View Power Partners I,Commercial Scale Wind,MDU Resources,SeaWest,L.A. Department of Water Resources,San Gorgonio CA,44.4 MW,74,2001,Mitsubishi,In Service,"33.9095°, -116.734°",44.4,33.9095,-116.734
Mountain View Power Partners II Wind Farm,Mountain View Power Partners II Wind Farm,Mountain View Power Partners II,Commercial Scale Wind,MDU Resources,SeaWest,L.A. Department of Water Resources,San Gorgonio CA,22.2 MW,37,2001,Mitsubishi,In Service,"33.9095°, -116.734°",22.2,33.9095,-116.734
Mountain View Power Partners III Wind Farm,Mountain View Power Partners III Wind Farm,Mountain View Power Partners III,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,San Diego Gas & Electric,San Gorgonio CA,22.44 MW,34,2003,Vestas,In Service,"33.9095°, -116.734°",22.44,33.9095,-116.734
Mountain Wind I Wind Farm,Mountain Wind I Wind Farm,Mountain Wind I,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,PacifiCorp,WY,60.9 MW,29,2008,Suzlon Energy Company,In Service,"41.275629°, -110.539488°",60.9,41.275629,-110.539488
Mountain Wind II Wind Farm,Mountain Wind II Wind Farm,Mountain Wind II,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,PacifiCorp,WY,79.8 MW,38,2008,Suzlon Energy Company,In Service,"41.275629°, -110.539488°",79.8,41.275629,-110.539488
Mountaineer Wind Energy Center,Mountaineer Wind Energy Center,Mountaineer Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,Thomas WV,66 MW,44,2002,NEG Micon,In Service,"39.163081°, -79.554516°",66,39.163081,-79.554516
Mower County Wind Energy Center,Mower County Wind Energy Center,Mower County Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,Mower County MN,98.9 MW,43,2006,Siemens,In Service,"43.695822°, -92.649608°",98.9,43.695822,-92.649608
Mozart,Mozart,Mozart,Commercial Scale Wind,WKN USA LLC,WKN USA LLC,Merchant (ERCOT),Kent County TX,30 MW,12,2012,Nordex,In Service,"32.99176°, -100.53093°",30,32.99176,-100.53093
Mt Peak Utility,Mt Peak Utility,Mt Peak Utility,Definition:Small Scale Wind,Mnt Peak Utility,,Mnt Peak Utility,Midlothian TX,0.1 MW,1,2010,Northern Power Systems,In Service,"32.42144978°, -97.02427357°",0.1,32.42144978,-97.02427357
Mt. Edgecumbe High School Wind Project,Mt. Edgecumbe High School Wind Project,Mt. Edgecumbe High School,Community Wind,,,,AK,,1,,SkyStream,,"57.053928°, -135.356903°",0,57.053928,-135.356903
Mullen High School Wind Project,Mullen High School Wind Project,Mullen High School,Community Wind,,,,NE,,1,,SkyStream,,"42.045742°, -101.046158°",0,42.045742,-101.046158
Munnsville Wind Farm,Munnsville Wind Farm,Munnsville,Commercial Scale Wind,Airtricity,Airtricity,,Near Munnsville NY,34.5 MW,23,2007,GE Energy,In Service,"42.948685°, -75.563024°",34.5,42.948685,-75.563024
Murray Various Wind Farm,Murray Various Wind Farm,Murray Various,Commercial Scale Wind,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,MN,10 MW,8,2005,Suzlon Energy Company,In Service,"43.982665°, -96.01146°",10,43.982665,-96.01146
Musselshell I,Musselshell I,Musselshell I,Commercial Scale Wind,Goldwind,Volkswind USA,NorthWestern Energy,Ryegate MT,10 MW,7,2012,Goldwind,In Service,"46.282969°, -109.470112°",10,46.282969,-109.470112
Musselshell II,Musselshell II,Musselshell II,Commercial Scale Wind,Goldwind,Volkswind USA,NorthWestern Energy,Ryegate MT,10 MW,7,2012,Goldwind,In Service,"46.26733°, -109.499175°",10,46.26733,-109.499175
Mustang Hills,Mustang Hills,Mustang Hills (Alta VI),Commercial Scale Wind,Terra-Gen Power LLC,Terra-Gen Power LLC,Southern California Edison Co,Tehachapi Pass CA,150 MW,50,2012,Vestas,In Service,"35.01917213°, -118.3031845°",150,35.01917213,-118.3031845
